NÉV,dh01,dh02,dh03,dh04,dh05,dh06,dh07,dh08,dh09,dh10,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,dh25,dh26,dh27,dh28,dh29,dh30,dh31,dh32,dh33,dh34,dh35,dh36,dh37,dh38,dh39,dh40,dh41,dh42,dh43,dh44
dh30,2,4,4,3,1,1,3,3,4,1,2,2,3,4,0,4,3,3,2,2,2,1,2,1,5,4,4,0,5,0,5,0,4,5,1,4,1,0,0,1,1,0,5,3
dh31,4,0,3,5,2,2,1,4,5,3,1,2,5,2,1,1,0,4,3,5,3,0,2,3,0,0,3,4,0,5,0,0,3,4,5,4,4,1,0,3,1,4,2,0
dh32,1,4,1,2,0,0,2,1,4,0,5,3,5,3,4,4,4,3,3,3,2,5,5,5,0,5,5,4,4,5,2,0,0,2,0,1,3,1,4,5,3,1,1,5
dh33,0,4,2,2,1,0,2,4,4,5,4,2,5,3,1,1,0,0,2,1,4,3,3,4,5,3,0,3,2,2,5,1,0,2,0,0,1,4,2,0,2,3,1,2
dh34,0,4,0,5,3,4,2,2,2,4,2,4,4,5,4,2,1,2,2,4,1,4,2,2,4,0,1,4,3,5,2,3,0,0,3,5,4,0,2,5,1,2,3,3
dh35,4,5,0,4,4,3,3,1,1,3,3,5,5,4,4,0,1,3,5,2,3,3,5,1,0,3,1,0,5,3,1,3,3,2,0,5,0,3,3,4,1,1,0,3
dh36,2,0,1,5,2,3,1,4,5,5,0,3,1,0,3,0,3,3,4,0,0,5,1,4,4,0,2,1,3,3,5,1,5,2,2,0,2,2,1,3,3,2,4,5
dh37,5,0,0,3,2,0,5,1,0,0,1,1,1,5,1,3,3,0,0,4,5,5,5,1,2,1,5,4,1,0,3,5,4,1,4,3,0,5,2,4,1,5,3,2
dh38,2,5,2,1,5,0,5,0,5,0,1,0,4,3,0,0,0,2,4,0,0,4,2,0,1,4,1,2,5,3,4,4,1,1,3,5,3,0,1,1,1,0,4,5
dh39,5,1,0,3,2,2,2,0,2,4,3,2,3,3,4,3,5,1,5,1,0,2,5,3,4,2,1,1,3,0,3,1,0,1,0,4,1,4,0,4,4,1,1,3
dh40,4,2,1,3,2,5,4,2,2,5,3,4,3,3,2,1,3,0,4,2,3,4,0,2,2,3,5,1,3,0,1,4,3,0,4,4,4,1,2,0,1,5,1,0
dh41,0,2,4,2,2,5,4,3,5,4,0,2,2,3,0,1,4,3,1,2,1,0,4,1,0,4,1,2,0,4,2,2,5,4,4,4,0,1,2,3,0,1,2,1
dh42,3,5,5,4,1,3,5,4,5,0,1,5,5,2,1,2,2,5,1,5,4,1,0,3,0,0,0,2,1,3,0,3,5,4,5,0,5,1,5,5,5,0,2,1
dh43,4,2,5,2,3,1,3,1,5,3,1,5,2,4,4,1,0,1,3,0,0,3,1,0,0,0,4,3,2,2,1,0,3,5,1,5,1,4,0,1,3,5,0,3
dh44,3,5,2,1,3,0,4,2,1,5,2,0,2,4,2,1,3,1,2,5,0,4,5,4,3,2,1,4,1,4,0,3,1,0,4,4,4,3,0,1,4,5,0,0
