NÉV,dh01,dh02,dh03,dh04,dh05,dh06,dh07,dh08,dh09,dh10,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,dh25,dh26,dh27,dh28,dh29,dh30,dh31,dh32,dh33,dh34,dh35,dh36,dh37,dh38,dh39,dh40,dh41,dh42,dh43,dh44
esz31,5,1,2,2,1,2,4,5,1,5,1,2,0,2,3,3,0,4,1,4,0,5,0,0,3,5,2,4,3,1,4,5,0,2,4,1,3,1,4,4,2,2,3,0
esz32,2,0,5,5,1,3,1,5,0,1,0,2,2,0,2,3,4,1,5,0,2,5,5,0,5,4,4,2,2,0,3,2,3,0,5,2,5,2,3,2,3,0,3,0
esz33,5,0,5,3,5,5,4,0,5,4,2,3,1,0,0,3,4,4,2,3,1,3,2,4,0,0,5,5,2,0,0,4,5,5,1,4,5,3,4,4,0,0,1,3
esz34,3,2,5,1,3,3,3,1,0,3,3,2,1,5,0,0,5,0,4,2,1,2,2,3,1,5,4,3,2,1,3,3,3,5,0,5,2,0,1,0,3,5,0,5
esz35,3,0,1,2,1,1,5,5,3,5,4,1,1,5,4,5,3,0,4,5,3,5,1,2,5,0,3,3,4,3,5,2,4,3,2,0,2,0,3,4,3,1,0,4
esz36,1,0,4,0,1,1,3,3,1,2,0,0,1,5,3,0,1,3,1,5,1,2,3,4,5,3,3,5,2,0,0,1,4,3,1,5,4,5,0,1,0,0,3,2
esz37,5,5,5,0,5,0,0,2,2,2,4,2,0,4,5,3,0,1,5,0,1,2,3,1,3,3,1,0,4,0,2,5,0,0,4,2,1,0,1,5,0,4,0,4
esz38,4,0,3,0,4,3,4,0,1,0,0,1,0,2,2,1,2,3,3,5,2,1,0,5,0,2,5,4,5,3,5,5,5,3,0,4,0,4,4,3,4,0,4,3
esz39,1,4,1,0,1,1,0,5,1,3,5,0,2,1,1,1,2,4,4,4,3,3,5,4,0,4,4,4,2,2,5,5,0,1,4,0,3,2,5,5,1,5,2,2
esz40,2,3,4,4,5,2,3,1,0,3,5,5,0,0,2,1,0,3,4,1,1,0,5,4,5,2,0,3,2,0,5,3,5,1,5,0,5,5,5,1,1,4,4,3
esz41,2,3,2,3,0,5,0,3,2,0,1,5,4,2,1,3,5,5,4,2,5,2,1,3,1,2,2,0,5,4,1,2,5,5,0,2,2,3,1,2,4,1,0,1
esz42,5,0,3,5,1,4,5,1,2,3,1,2,2,4,3,4,1,0,2,5,4,1,3,3,0,3,3,0,3,1,2,4,1,0,1,3,2,1,3,4,3,2,4,2
esz43,3,2,4,5,5,2,1,3,1,3,4,0,3,3,4,2,1,4,5,1,1,5,1,5,0,0,4,4,4,5,2,0,4,1,0,4,1,0,4,4,1,5,2,4
esz44,2,4,4,4,5,5,0,3,3,4,1,2,3,0,2,1,5,5,3,1,3,2,1,4,3,0,5,3,1,2,1,5,4,1,2,3,1,0,5,0,5,3,4,5
esz45,1,5,2,3,0,1,5,3,2,0,0,3,5,4,5,4,3,1,4,1,0,5,3,5,0,0,4,3,4,0,1,0,0,1,5,2,3,2,0,4,2,5,1,3
esz46,4,0,4,5,0,4,1,0,1,5,4,0,2,4,5,1,5,1,5,4,1,4,5,3,0,0,3,5,0,5,4,3,5,1,5,4,0,1,2,4,2,2,0,2
esz47,3,1,1,2,5,3,4,5,2,5,2,0,3,2,5,4,3,3,1,2,5,1,5,5,1,2,3,2,3,1,1,0,3,2,1,2,3,2,5,1,2,4,0,0
esz48,0,3,0,0,3,3,1,3,1,1,4,4,5,2,1,4,5,2,4,5,0,1,0,2,3,1,2,5,5,1,4,1,4,4,1,5,3,1,5,3,2,5,2,5
esz49,3,0,5,1,1,4,1,1,3,3,0,0,2,3,0,1,2,2,3,4,4,0,1,5,5,2,1,1,3,1,3,3,4,2,5,1,0,5,1,2,1,2,1,5
esz50,4,1,1,5,1,2,5,1,3,1,5,1,1,5,0,0,4,3,4,1,3,5,5,4,2,2,2,4,4,0,4,0,1,1,0,5,4,5,3,5,4,1,1,2
esz51,5,3,5,4,3,5,4,5,3,3,1,0,0,1,5,5,0,0,0,3,5,0,0,1,1,0,3,3,4,3,4,2,2,2,0,5,1,0,1,2,1,5,1,1
esz52,4,2,5,3,3,0,4,1,1,0,1,3,4,0,0,0,2,3,2,4,0,2,1,0,0,0,4,5,0,4,4,4,5,4,4,4,4,0,0,3,1,4,0,3
esz53,0,5,4,0,4,3,3,5,3,0,0,2,2,2,5,2,4,5,1,3,4,2,3,5,0,4,5,0,4,2,5,5,4,2,0,0,2,0,0,0,0,5,0,1
esz54,5,2,2,5,5,4,1,2,3,3,0,4,2,0,2,3,4,4,0,3,1,3,0,3,5,5,3,0,0,5,3,2,3,1,4,2,1,3,1,0,2,5,2,3
esz55,4,5,1,5,3,2,0,2,3,1,2,3,2,3,1,0,2,2,4,2,1,0,3,5,0,1,4,0,2,5,5,1,0,3,4,0,0,5,2,1,2,0,0,4
esz56,1,5,3,1,3,3,4,0,0,3,1,1,5,0,1,2,2,1,3,4,4,0,4,1,4,0,2,2,0,1,2,1,4,0,0,0,3,0,3,3,1,1,4,2
esz57,1,2,4,0,5,4,0,2,3,1,0,0,5,2,0,4,0,3,2,2,3,2,0,2,4,0,2,2,5,1,3,5,1,4,1,3,3,1,3,5,2,3,1,1
