NÉV,iv01,iv02,iv03,iv04,iv05,iv06,iv07,iv08,iv09,iv10,iv11,iv12,iv13,iv14,iv15,iv16,iv17,iv18,iv19,iv20,iv21,iv22,iv23,iv24,iv25,iv26,iv27,iv28,iv29,iv30,iv31,iv32,iv33,iv34,iv35,iv36,iv37,iv38,iv39,iv40,iv41,iv42,iv43,iv44,iv45
mst12,1,1,3,0,3,3,5,4,5,5,4,2,0,0,4,0,4,3,5,4,5,5,2,4,2,3,5,2,5,1,3,1,5,2,1,4,3,2,0,2,5,3,4,3,1
mst13,3,1,5,2,1,5,5,1,3,4,2,3,5,0,3,3,4,2,3,5,3,4,4,1,5,5,3,5,3,4,5,5,2,3,2,1,1,3,1,4,0,5,2,1,2
mst14,1,3,4,3,5,4,5,1,0,0,1,1,4,0,2,1,2,0,3,5,3,4,0,4,5,4,0,2,2,1,0,1,2,5,2,4,3,0,0,1,3,5,3,0,5
mst15,1,0,2,2,5,2,4,0,5,5,4,3,0,0,2,2,2,0,1,4,1,2,3,3,5,2,3,1,3,3,3,4,3,2,4,1,0,3,1,0,0,2,2,0,3
mst16,3,1,1,3,0,0,2,1,2,4,5,4,5,3,5,1,1,3,4,3,0,0,5,2,3,0,0,1,1,3,1,2,2,2,5,5,5,0,3,3,4,5,1,2,3
mst17,4,3,2,0,1,3,2,0,1,4,1,3,4,5,2,2,4,4,0,0,4,3,1,2,5,2,0,3,5,2,1,2,4,0,5,4,0,5,2,4,5,5,1,0,5
mst18,4,4,0,3,2,3,5,1,1,4,0,4,4,0,2,2,5,2,5,0,2,4,4,0,1,3,2,3,0,3,1,4,3,2,0,0,1,4,4,4,4,4,5,4,3
mst19,2,2,4,5,0,5,2,0,3,2,2,0,2,5,0,5,3,4,4,4,5,1,5,2,5,5,5,4,1,2,4,1,0,4,4,2,4,0,2,4,2,1,3,4,5
mst20,0,3,3,1,5,2,5,5,3,2,5,5,0,3,4,4,2,3,2,3,0,2,1,4,1,3,3,5,5,0,3,1,1,1,4,4,3,0,1,3,5,2,4,5,5
mst21,0,3,5,0,4,3,1,3,4,5,3,3,5,3,5,0,4,2,5,2,0,2,0,3,3,1,2,0,1,3,1,0,2,5,3,3,0,2,4,0,5,2,3,4,2
mst22,1,5,5,1,0,4,3,2,2,4,0,5,0,3,1,4,3,1,5,2,5,1,1,3,4,1,1,0,2,4,2,4,5,2,0,2,4,0,0,4,4,3,3,4,4
mst23,3,1,3,2,1,4,3,1,2,3,3,1,4,0,5,3,1,4,2,4,2,0,3,4,4,4,3,2,4,4,2,1,2,1,1,5,3,5,4,0,0,2,5,4,2
mst24,4,3,0,3,3,0,2,5,5,3,1,4,1,5,4,1,5,3,5,4,5,5,2,1,1,3,1,3,3,3,2,0,1,5,2,4,3,4,2,1,5,0,2,3,5
mst25,2,2,0,2,1,5,5,5,2,3,0,0,5,4,3,1,0,1,1,1,0,1,5,4,3,4,5,0,5,0,2,5,3,1,2,0,2,0,2,2,5,5,2,4,3
mst26,1,0,5,5,4,5,1,3,5,4,5,4,5,2,0,0,4,3,5,3,1,4,4,4,1,4,4,4,3,2,0,3,2,0,5,5,2,0,0,1,5,5,0,5,4
mst27,0,4,2,3,0,3,5,0,4,1,3,2,3,5,1,2,1,4,3,0,2,4,2,1,1,4,3,1,5,2,0,5,5,2,0,1,1,0,1,1,0,1,4,1,3
mst28,4,4,2,5,3,2,2,0,5,5,0,2,5,3,2,1,3,0,0,1,3,5,1,3,1,5,4,1,2,0,1,2,2,1,4,5,3,5,4,4,4,0,4,0,5
mst29,2,1,3,5,4,1,4,3,3,3,4,5,5,4,3,5,1,3,4,3,4,5,1,4,5,2,3,2,5,1,5,0,0,4,3,4,3,5,3,0,2,0,2,1,2
mst30,2,3,4,3,5,0,5,0,1,2,2,0,3,0,1,4,2,0,1,3,4,1,0,1,0,4,0,1,2,4,0,1,1,3,2,0,5,5,1,2,1,2,1,2,0
mst31,2,4,0,5,4,5,5,3,5,1,5,5,0,0,4,5,0,3,2,5,2,4,1,5,2,3,2,5,1,5,5,3,0,0,1,1,1,5,5,0,4,1,5,3,1
mst32,0,0,0,2,0,5,2,0,1,5,3,4,5,4,4,1,5,5,5,0,2,2,3,0,2,5,4,2,1,0,4,2,5,3,1,2,3,0,4,3,0,3,4,2,3
mst33,0,4,0,5,5,1,5,2,4,2,1,1,2,1,2,2,0,5,1,2,3,5,3,3,1,5,2,3,2,5,4,3,1,4,4,1,4,1,2,5,5,2,1,4,1
mst34,2,2,5,0,1,1,5,0,5,0,2,1,0,0,1,0,0,3,4,5,1,0,3,1,0,2,0,1,4,2,4,4,2,3,5,5,3,1,4,2,5,2,4,5,2
mst35,2,1,5,0,2,5,5,1,5,4,1,2,0,0,1,3,0,3,0,1,3,0,0,1,4,0,4,4,3,1,5,1,0,5,0,4,5,5,0,5,2,3,5,3,1
mst36,1,5,2,3,0,0,5,3,3,4,3,4,2,5,2,0,5,0,4,5,5,3,3,0,1,5,2,5,2,5,4,0,3,4,1,4,4,1,2,5,2,2,0,0,1
mst37,1,1,3,3,5,0,2,2,3,1,3,4,2,5,4,2,2,1,3,3,3,1,1,1,2,5,1,4,1,2,0,3,2,5,4,5,4,3,2,1,0,0,4,5,0
mst38,3,0,0,0,4,0,2,5,2,3,5,3,5,4,2,1,5,0,4,1,0,3,3,2,4,4,1,0,5,4,1,4,5,5,3,2,1,4,0,0,4,5,3,5,4
mst39,0,0,5,4,0,4,4,2,5,5,0,3,4,3,1,2,0,5,3,4,5,0,3,3,2,0,5,5,4,4,5,5,4,5,2,3,4,0,0,2,4,2,0,4,5
mst40,3,3,1,4,0,0,0,3,3,0,4,2,3,5,4,5,3,4,4,5,4,5,0,4,1,4,3,2,3,3,1,4,5,1,0,5,5,0,3,1,3,1,0,5,2
mst41,0,1,0,2,2,4,5,4,1,3,4,4,4,3,2,4,1,2,4,4,1,4,2,4,4,5,1,4,2,2,5,0,2,2,2,5,3,3,0,2,3,4,3,3,0
mst42,5,3,2,4,0,5,0,4,4,4,1,4,1,2,2,2,3,4,3,3,2,5,2,1,5,2,1,2,5,0,3,3,2,1,1,4,0,3,4,4,3,3,5,4,0
mst43,4,1,3,3,5,1,3,0,0,3,0,3,1,3,4,4,4,5,5,5,4,3,2,0,2,2,1,5,4,2,3,1,5,2,0,4,3,0,4,5,0,3,3,1,1
mst44,5,0,0,3,2,4,4,1,4,2,5,4,4,2,3,2,0,5,4,1,1,5,1,5,2,1,5,0,2,3,4,5,0,0,2,5,4,3,2,3,1,2,3,3,1
mst45,3,4,2,3,0,0,0,1,3,1,0,3,4,3,2,0,2,4,2,3,4,0,1,2,2,0,3,2,3,4,0,4,3,3,2,3,3,1,1,0,0,2,3,5,0
mst46,3,3,3,5,4,3,1,4,0,0,4,4,2,3,3,5,3,2,2,5,1,1,3,2,4,3,0,2,1,3,2,1,3,4,5,2,1,0,1,1,5,5,4,2,2
mst47,0,1,5,5,1,4,0,2,3,5,3,2,4,5,1,1,4,5,3,4,4,3,0,5,0,3,5,5,4,2,2,3,2,5,0,2,5,3,1,4,3,0,5,2,1
mst48,5,4,3,1,3,0,3,3,4,0,4,0,2,1,4,1,5,2,0,1,2,0,5,0,0,5,3,3,4,2,1,4,3,2,3,5,0,0,3,1,3,0,0,3,5
mst49,1,1,5,5,4,4,2,4,3,5,2,3,2,1,5,2,3,0,2,5,5,0,1,4,1,1,5,5,4,3,3,2,0,5,4,3,0,2,5,3,0,0,4,2,0
mst50,0,5,2,3,2,5,1,4,2,2,1,4,0,1,5,3,0,2,2,3,5,2,3,0,1,0,3,5,0,1,2,4,5,4,2,1,4,1,1,1,5,5,2,4,0
mst51,0,4,0,5,3,5,3,4,0,2,3,4,2,0,4,0,1,1,0,5,1,0,5,5,1,2,1,5,1,5,3,1,3,5,2,0,4,0,3,4,5,5,1,4,3
mst52,0,3,5,3,2,1,1,1,4,3,3,4,4,5,2,0,5,3,1,1,1,5,5,4,1,0,4,3,0,1,4,5,4,4,5,5,3,2,3,1,1,2,5,4,3
mst53,1,3,1,4,5,4,4,3,2,4,3,0,5,4,3,3,3,2,2,4,2,0,3,2,0,3,4,3,4,2,4,5,5,1,5,2,0,2,2,1,0,0,1,5,1
mst54,3,5,3,4,5,2,1,0,3,4,3,3,5,4,4,0,4,1,0,1,2,3,4,3,0,4,1,4,3,1,5,0,1,5,3,2,3,4,0,1,1,2,4,5,2
mst55,1,2,3,1,3,3,1,0,4,2,3,1,2,5,5,0,2,3,3,1,2,5,2,0,3,2,1,0,5,3,0,2,4,1,3,2,1,1,1,4,5,3,0,5,3
mst56,1,5,4,5,0,4,3,5,5,2,5,4,1,2,4,3,3,5,4,1,4,0,0,3,0,4,3,5,3,3,5,1,0,4,5,4,1,0,5,3,2,5,3,5,5
mst57,2,0,1,2,1,0,0,0,0,2,2,3,5,5,0,1,2,5,4,1,2,0,4,2,1,4,1,3,0,2,5,1,5,1,5,2,1,2,2,0,1,5,2,3,5
mst58,3,0,4,5,5,3,2,3,2,3,4,3,0,5,4,2,5,4,1,3,2,4,2,3,2,0,0,2,2,1,5,2,3,3,4,0,1,4,1,5,4,3,0,1,1
mst59,3,4,2,0,4,2,4,1,1,3,1,5,2,2,3,1,4,2,5,5,2,3,4,3,4,4,5,5,3,3,2,2,2,2,4,2,4,2,4,4,1,5,3,5,0
mst60,1,4,0,5,0,1,4,2,1,3,3,4,3,4,3,4,3,1,0,3,3,1,5,3,2,1,3,4,4,4,5,4,3,4,3,4,5,2,1,1,2,0,4,4,3
mst61,1,4,3,4,5,0,2,5,4,4,5,1,4,2,3,5,3,5,3,1,3,2,3,0,2,3,2,3,5,2,4,4,1,2,5,4,5,5,2,4,0,3,4,3,3
mst62,4,3,4,3,4,0,0,0,3,2,0,1,1,5,4,5,1,1,1,2,1,1,0,1,3,2,3,4,3,3,5,1,3,1,1,4,0,2,4,0,5,0,5,0,2
mst63,4,3,5,3,0,0,1,1,2,2,0,1,3,1,1,3,2,0,4,4,1,0,0,5,3,4,0,0,0,1,0,2,0,3,0,0,3,5,1,0,5,5,2,1,2
mst64,2,2,4,5,3,4,2,5,0,4,5,2,3,2,4,3,1,2,5,0,1,3,5,5,5,4,1,5,3,3,0,3,1,5,0,5,1,0,4,5,5,4,2,3,2
mst65,1,5,5,5,4,5,2,5,0,3,2,1,0,1,2,4,3,4,2,2,1,2,5,5,5,4,2,3,5,3,2,5,3,1,2,4,2,2,1,2,2,3,2,4,4
mst66,4,1,2,5,2,5,3,5,4,3,3,1,0,3,1,1,1,1,4,4,5,2,2,5,0,2,1,5,2,5,5,2,3,1,2,5,3,0,3,2,5,0,3,5,0
mst67,1,1,2,5,4,0,1,1,1,4,5,2,4,2,5,3,4,1,5,1,3,0,1,3,3,2,0,5,5,1,4,4,5,1,1,4,5,5,0,1,1,3,2,3,5
mst68,4,3,1,0,2,4,2,0,3,0,2,5,4,1,2,1,4,1,0,4,3,0,5,3,2,1,4,5,5,0,1,3,0,0,5,0,5,5,1,3,1,2,4,1,4
mst69,5,2,2,5,1,2,0,4,3,0,1,4,0,4,0,4,2,2,4,4,2,2,1,3,4,3,2,2,1,2,4,5,0,5,4,4,3,2,1,1,3,5,1,3,1
mst70,1,2,4,0,2,4,2,4,3,4,2,4,5,5,2,3,3,0,3,0,5,3,4,2,0,3,5,4,3,4,3,3,1,4,1,0,4,4,1,5,0,1,4,1,5
mst71,0,5,0,5,2,5,0,4,1,0,2,0,5,3,0,3,0,0,5,1,2,0,3,0,0,2,3,4,0,1,1,3,2,3,3,1,4,2,2,5,5,0,5,4,4
mst72,4,2,3,0,0,1,2,4,0,4,3,5,0,5,0,2,2,3,2,4,0,2,2,0,0,3,3,1,1,5,1,4,3,1,1,2,0,1,0,1,5,0,0,4,2
mst73,0,0,4,3,4,0,2,3,5,1,4,4,5,4,2,5,5,3,2,5,0,0,1,2,3,5,5,0,2,4,1,1,0,0,1,1,2,2,5,5,5,5,4,5,0
mst74,0,1,5,3,1,0,5,2,2,2,4,3,4,2,4,0,5,4,3,3,1,0,2,3,5,0,1,0,4,3,3,4,0,2,0,4,4,3,4,5,1,4,0,3,0
mst75,4,2,3,4,2,3,3,1,4,1,3,0,1,0,2,1,3,5,3,3,2,3,3,4,2,3,1,0,1,3,5,0,3,5,3,3,5,4,0,1,4,5,5,1,2
mst76,5,2,3,0,4,2,3,0,2,0,1,3,2,3,4,5,4,1,3,0,0,3,4,1,1,5,2,5,4,4,3,4,5,5,5,2,3,1,2,1,0,1,1,5,3
mst77,0,5,0,1,4,5,1,0,0,3,1,0,5,3,5,5,3,5,4,4,2,2,5,1,1,0,0,1,4,3,5,5,5,1,1,5,1,0,2,0,5,4,0,4,1
mst78,1,3,1,0,0,4,0,4,4,4,0,1,1,0,5,0,2,2,3,0,1,0,5,0,1,0,0,3,0,5,2,3,1,0,2,5,5,0,5,4,1,0,4,4,2
mst79,3,4,1,4,4,2,5,4,0,5,0,0,4,3,3,1,3,5,1,1,3,1,4,2,0,5,2,2,5,1,0,1,1,2,5,0,2,1,1,5,1,3,5,0,2
mst80,0,4,5,3,3,1,2,0,3,1,4,4,2,2,5,1,1,5,1,3,5,0,4,3,5,4,1,1,5,2,3,2,1,1,3,1,4,4,4,2,3,4,5,1,3
mst81,3,2,0,4,4,0,0,4,4,1,5,4,5,4,5,2,1,5,1,1,0,4,0,4,0,2,0,5,1,5,4,1,4,0,4,1,4,2,4,5,5,2,3,3,2
mst82,1,4,1,2,4,0,5,5,2,5,5,0,2,2,0,1,1,1,2,2,1,3,2,2,4,4,1,4,5,1,1,3,3,2,5,4,3,4,3,2,2,2,5,0,1
mst83,3,5,5,3,3,4,3,0,1,4,2,2,3,5,4,2,2,0,5,4,2,3,0,5,5,3,5,3,5,4,3,1,2,5,5,0,3,2,4,4,5,1,1,0,3
mst84,2,2,2,5,0,5,3,5,0,2,3,5,5,2,2,3,2,1,1,4,3,1,3,0,3,1,5,5,2,2,3,4,4,3,1,4,4,5,5,1,2,2,1,5,5
mst85,3,3,2,1,3,4,5,0,2,4,1,0,5,2,1,2,5,1,0,2,1,0,3,0,1,3,4,5,1,1,3,4,0,2,0,1,3,2,2,0,3,5,1,1,4
mst86,1,3,3,1,0,5,1,1,2,1,4,4,3,2,5,0,0,1,1,1,3,4,2,5,2,4,0,0,3,0,5,2,4,0,5,3,1,3,3,4,1,3,3,0,1
mst87,4,4,4,0,5,5,5,0,1,3,0,4,0,3,3,3,2,0,5,1,5,5,1,0,4,5,5,2,1,1,4,4,0,0,0,4,3,5,2,1,3,1,5,5,5
mst88,2,0,4,1,0,0,4,4,2,3,1,5,0,0,4,0,3,5,2,1,5,0,1,4,2,2,5,1,0,2,1,5,1,2,5,0,0,4,0,5,1,3,3,3,0
mst89,5,0,4,5,2,0,5,1,1,2,0,4,0,2,4,1,5,2,3,3,0,0,0,5,3,2,2,4,1,2,3,4,0,4,5,3,0,1,3,2,1,4,3,2,0
mst90,4,3,3,1,4,3,1,5,4,4,4,1,0,4,4,3,4,4,1,2,5,0,1,0,2,4,5,5,2,0,4,0,4,3,1,0,1,5,2,1,0,0,1,2,0
