NÉV,esz01,esz02,esz03,esz04,esz05,esz06,esz07,esz08,esz09,esz10,esz11,esz12,esz13,esz14,esz15,esz16,esz17,esz18,esz19,esz20,esz21,esz22,esz23,esz24,esz25,esz26,esz27,esz28,esz29,esz30,esz31,esz32,esz33,esz34,esz35,esz36,esz37,esz38,esz39,esz40,esz41,esz42,esz43,esz44,esz45,esz46,esz47,esz48,esz49,esz50,esz51,esz52,esz53,esz54,esz55,esz56,esz57
mst21,1,0,3,3,3,3,5,1,0,0,1,0,1,3,0,3,1,0,2,1,1,2,2,5,0,1,2,5,3,1,2,5,2,0,2,4,0,1,0,1,1,0,1,4,1,4,1,0,0,5,5,5,3,3,0,0,0
mst22,2,0,1,5,5,4,4,0,4,0,4,2,0,4,3,2,3,5,3,1,5,4,3,0,0,5,4,4,1,0,4,0,3,4,3,0,1,5,5,3,1,4,5,3,3,3,4,3,0,1,3,2,4,4,4,4,1
mst23,2,2,4,0,1,4,3,3,1,1,1,3,0,1,3,4,3,1,2,2,0,2,2,4,4,5,2,1,4,1,3,0,4,1,5,1,2,1,0,1,1,3,1,1,0,0,3,1,5,5,4,1,1,1,5,2,3
mst24,2,0,0,3,0,0,4,3,2,4,3,0,1,5,2,2,0,1,0,1,3,2,5,0,4,5,3,2,5,0,1,2,5,5,5,3,3,2,3,2,1,4,1,3,1,0,0,1,4,4,2,0,3,3,5,4,5
mst25,0,5,5,3,4,3,2,5,1,2,2,1,2,4,5,3,0,3,1,5,0,0,2,5,3,3,2,1,2,4,4,3,1,0,0,5,4,3,4,0,2,5,1,1,2,2,1,0,3,3,0,5,5,0,2,1,5
mst26,3,5,3,1,2,3,1,0,0,3,0,5,2,4,1,2,3,4,0,2,4,2,5,0,4,5,5,0,3,1,4,4,0,2,0,3,3,0,5,0,3,2,5,3,0,2,3,1,1,5,5,3,1,5,1,0,0
mst27,4,3,1,2,5,5,5,3,4,5,4,0,1,0,0,4,3,4,4,0,4,0,2,5,1,1,4,1,5,2,5,0,4,1,5,3,1,4,0,1,3,2,5,0,1,0,4,4,1,4,3,2,0,5,0,4,3
mst28,3,3,2,4,5,3,3,0,5,4,1,0,1,4,1,3,0,4,4,4,3,4,0,2,5,0,3,2,4,5,2,1,0,4,5,4,1,4,5,4,3,0,2,5,5,2,3,0,4,5,2,5,2,0,0,2,4
mst29,3,1,3,3,5,5,2,0,1,1,0,3,4,5,1,0,3,5,1,2,4,2,4,4,4,0,5,4,2,4,0,3,4,2,5,4,2,1,0,5,2,2,1,4,1,0,1,5,5,1,3,3,4,1,0,1,3
mst30,1,0,1,1,5,3,3,4,2,1,2,1,2,3,4,1,5,4,2,5,5,2,4,0,1,2,1,3,4,4,1,2,4,1,4,0,3,5,5,4,4,3,0,2,1,1,2,5,2,4,0,0,1,0,4,1,2
mst31,1,5,3,1,2,5,1,1,5,5,4,5,0,0,2,0,3,1,4,5,5,3,1,3,0,2,2,4,5,0,3,2,3,5,5,5,5,1,5,4,1,3,0,5,2,2,1,5,3,5,0,0,3,2,2,0,4
mst32,1,0,2,2,0,0,1,3,0,4,5,0,5,0,3,3,1,1,2,5,0,3,4,3,1,3,0,0,2,0,1,2,1,2,3,4,1,1,0,0,5,2,0,3,1,5,2,2,4,2,2,2,0,0,2,0,4
mst33,4,5,1,2,2,0,0,4,4,3,1,4,1,5,5,2,4,1,2,4,2,1,0,4,2,3,1,2,3,2,1,5,5,0,3,3,0,2,2,0,3,3,2,0,4,4,4,5,0,3,2,1,3,5,5,4,5
mst34,2,2,3,3,1,5,3,3,1,2,3,4,3,5,2,3,1,1,2,1,4,3,2,4,0,2,5,0,2,5,0,3,2,4,5,3,5,4,5,1,5,5,0,4,3,0,1,3,2,5,5,3,4,0,0,5,1
mst35,0,1,3,0,2,4,3,5,3,5,3,1,4,4,5,4,3,4,3,3,3,0,4,4,3,0,4,5,5,5,0,3,0,1,1,3,2,1,5,0,0,4,4,1,3,5,0,5,3,3,2,3,2,4,5,2,3
mst36,1,2,5,3,2,5,2,4,1,5,3,2,0,2,2,0,5,4,4,1,4,2,2,3,2,2,4,0,1,1,1,4,2,5,4,5,4,5,0,3,0,0,5,3,1,5,3,5,4,2,3,0,3,4,3,5,1
mst37,4,5,5,5,5,0,2,0,0,1,0,4,5,2,0,1,2,1,3,3,1,3,0,1,5,5,5,2,1,0,3,4,5,3,0,2,3,2,0,0,1,5,2,2,2,3,4,4,1,3,2,2,5,1,4,1,3
mst38,2,1,4,2,5,3,4,0,5,5,2,0,5,0,1,5,3,5,2,5,4,0,5,4,0,0,4,4,4,3,3,2,0,4,4,5,1,5,4,5,2,2,5,5,5,2,3,2,0,0,4,1,1,5,0,2,5
mst39,0,0,2,1,1,2,1,4,3,5,2,0,2,1,3,0,3,1,4,3,2,0,0,0,0,4,3,0,5,5,2,3,3,0,0,3,5,0,3,1,2,2,2,1,5,3,2,5,2,4,1,4,5,2,3,3,1
mst40,3,0,1,1,3,0,5,3,3,1,0,0,1,4,2,1,0,1,2,4,2,2,2,4,4,1,5,3,5,2,1,0,4,3,0,3,5,3,0,2,4,2,0,0,2,5,4,5,4,0,0,5,3,4,3,2,5
mst41,3,1,2,2,3,5,5,1,3,4,3,1,5,3,0,4,0,3,5,1,4,3,5,5,0,3,3,5,4,2,4,2,4,3,4,3,3,1,2,5,5,2,1,4,5,2,0,4,2,3,1,4,0,2,0,4,2
mst42,2,2,0,1,1,5,1,4,1,3,5,3,1,3,2,4,4,2,4,4,4,1,4,1,1,5,5,1,2,1,1,4,1,0,4,2,3,1,5,4,5,5,3,2,0,2,4,3,0,0,5,3,1,0,0,2,0
mst43,4,5,0,0,1,5,4,3,5,5,3,3,0,4,2,5,3,0,0,4,3,5,1,4,1,0,5,0,3,4,2,3,0,1,5,2,4,4,4,3,5,3,1,1,4,1,4,3,5,0,0,4,1,1,2,0,0
mst44,0,1,2,1,2,2,5,1,3,2,1,2,3,0,2,0,4,1,4,2,4,2,4,2,0,3,2,4,2,4,1,0,5,3,4,1,3,3,1,0,3,0,3,1,5,1,4,5,1,5,0,0,5,3,3,1,5
mst45,2,2,3,1,3,2,3,4,0,2,4,2,5,3,3,3,0,4,5,1,3,4,1,5,1,0,4,0,0,1,4,4,0,0,0,5,4,0,2,4,0,1,5,5,4,3,5,1,3,1,4,5,5,0,3,4,0
mst46,1,4,2,0,3,0,3,2,0,1,4,3,1,0,5,2,4,5,5,2,3,5,1,2,5,1,1,5,4,0,2,2,2,0,2,1,1,1,2,3,0,5,3,4,3,3,3,0,0,0,2,3,5,1,1,4,0
mst47,2,2,4,0,2,1,2,4,4,0,5,0,4,3,0,3,2,2,2,1,3,3,2,4,0,1,5,2,5,0,1,4,5,2,4,0,0,5,4,0,1,5,4,2,3,1,4,3,4,3,1,2,2,5,3,0,5
mst48,0,4,1,0,4,4,2,2,5,3,1,0,0,4,2,2,0,2,3,5,1,4,0,0,0,3,2,0,3,4,2,2,1,0,3,4,0,2,4,0,3,0,3,5,3,3,0,5,3,2,2,0,5,2,2,5,3
mst49,0,2,2,1,3,5,5,4,0,0,5,5,0,2,1,3,3,3,0,5,5,1,0,4,4,1,2,2,3,5,4,4,1,4,1,1,5,4,1,4,3,1,2,5,2,2,3,2,5,4,1,4,0,3,0,0,5
mst50,4,2,2,0,1,4,1,3,0,0,4,0,0,4,2,0,4,0,0,1,1,2,5,0,0,4,4,1,0,5,3,4,4,2,3,5,3,2,2,4,2,2,0,1,0,1,0,3,2,1,4,5,1,5,3,4,2
mst51,2,2,2,0,2,0,1,1,2,4,5,1,3,4,4,2,1,3,1,4,4,0,4,3,5,0,5,1,3,1,4,2,1,1,5,2,2,2,1,4,1,2,0,0,3,4,2,5,5,5,4,4,5,1,2,0,4
mst52,0,1,5,3,2,1,4,3,0,3,0,0,0,1,5,0,1,3,3,0,0,0,0,2,1,1,1,4,2,4,1,1,2,2,5,5,4,5,0,0,3,5,1,3,5,0,1,4,0,5,1,2,5,2,1,2,2
mst53,0,4,4,0,5,4,1,5,2,1,4,2,1,2,5,4,0,3,3,2,5,5,2,5,2,3,4,1,2,1,0,3,2,1,2,2,4,0,5,2,0,1,2,5,4,5,1,2,5,0,0,5,3,4,1,2,0
mst54,2,2,2,1,5,0,1,2,1,0,3,3,3,2,5,5,4,2,2,5,4,5,4,1,4,4,3,5,0,3,4,4,1,4,3,3,4,1,1,2,3,4,2,0,1,2,3,5,0,1,3,0,5,1,3,3,1
mst55,2,1,3,3,2,2,0,1,5,1,2,5,4,3,3,2,2,0,4,5,0,5,4,3,5,3,4,1,4,3,3,3,0,0,3,3,0,2,3,0,4,3,2,5,5,3,1,4,2,4,3,1,5,2,5,4,2
mst56,2,5,0,5,2,0,3,5,3,2,2,3,0,4,4,3,1,0,3,3,3,0,4,2,0,5,2,2,4,0,2,2,0,5,2,5,4,4,2,5,3,0,3,3,5,2,1,2,2,2,5,0,5,4,4,2,5
mst57,1,2,3,0,4,2,3,5,1,3,3,0,3,0,2,4,1,2,5,2,4,1,3,2,1,3,4,3,0,1,5,5,1,0,0,5,2,3,4,1,3,3,3,0,4,1,4,4,3,0,1,2,5,5,5,3,1
mst58,4,3,0,3,1,0,2,0,2,4,2,2,1,5,2,3,5,4,2,0,5,3,3,5,0,3,2,0,4,2,2,5,5,5,0,1,1,4,3,1,4,0,1,3,0,2,0,5,2,0,3,5,2,3,3,0,4
mst59,0,5,3,2,3,0,2,2,3,1,2,4,1,3,0,5,5,3,0,0,5,5,0,5,5,0,5,0,5,1,4,0,2,1,2,5,3,3,2,4,0,4,1,4,3,0,1,0,2,5,3,4,0,2,4,0,5
mst60,4,2,1,3,3,1,2,3,1,3,0,0,4,2,2,5,1,1,2,3,5,2,1,5,0,0,5,4,0,4,4,5,2,0,5,1,4,1,1,1,2,1,4,4,2,0,5,1,5,3,2,4,4,2,0,5,2
mst61,0,0,5,1,0,0,3,0,1,5,0,5,5,5,0,5,1,5,0,0,4,4,4,5,2,2,4,2,3,2,1,4,1,5,3,5,5,5,3,4,1,2,5,0,4,5,5,2,4,1,4,2,1,4,2,2,2
mst62,5,5,0,2,2,1,2,5,0,3,4,1,4,5,0,5,2,2,2,0,1,1,2,5,1,0,0,3,5,3,0,3,3,3,2,2,1,4,1,1,1,3,1,0,5,3,5,5,4,4,3,5,4,1,3,2,3
mst63,4,4,0,2,3,4,2,0,3,3,0,1,1,5,2,2,1,5,0,2,4,0,4,4,4,5,4,1,5,5,3,2,4,1,2,3,2,5,1,2,4,0,4,4,5,0,2,5,0,2,2,5,0,1,4,4,5
mst64,1,5,0,2,1,4,2,1,5,1,1,3,0,0,2,4,0,0,3,0,3,5,2,4,2,2,2,4,0,1,1,4,0,3,1,5,0,3,4,2,1,1,0,3,0,4,3,0,4,3,1,2,5,3,4,3,1
mst65,2,0,2,2,5,0,1,0,2,5,2,5,5,1,0,3,1,4,1,2,1,0,5,0,5,0,5,4,3,4,2,1,5,2,0,1,5,5,2,3,0,1,0,5,1,1,2,3,1,2,4,3,0,0,1,5,2
mst66,0,2,2,3,5,2,3,3,1,2,2,1,3,5,1,1,0,1,2,3,0,2,4,5,5,5,4,5,5,1,2,3,4,2,4,2,4,5,2,1,3,4,2,4,2,3,0,2,1,5,3,1,5,0,5,4,2
mst67,3,1,3,0,0,5,5,2,3,4,0,0,3,0,0,3,1,4,1,3,1,1,4,5,0,2,2,4,0,3,2,0,3,2,3,0,2,2,1,0,5,5,5,2,4,5,0,2,4,2,3,4,1,0,4,4,3
mst68,4,2,3,5,0,1,1,4,3,1,3,1,3,0,0,4,4,3,1,3,1,3,3,3,4,1,0,2,5,2,0,2,3,2,0,5,5,5,0,4,0,2,1,0,3,1,5,2,3,1,2,0,5,1,4,1,5
mst69,1,1,2,1,2,4,1,3,1,0,1,4,4,5,4,0,5,0,5,5,5,2,0,5,4,2,1,4,2,0,4,5,4,0,2,1,5,4,1,1,0,5,4,5,5,3,0,4,0,4,2,5,1,3,4,0,1
mst70,5,2,4,2,5,4,0,3,2,1,3,0,0,3,2,4,4,0,1,4,0,0,2,5,4,2,1,3,3,2,2,4,1,5,0,5,1,5,0,2,1,0,0,5,2,4,5,5,3,1,1,1,4,3,2,0,5
mst71,5,4,5,1,2,2,0,1,0,0,0,1,1,4,5,0,4,1,3,0,4,3,3,3,3,5,5,4,5,0,4,5,3,4,2,5,5,0,1,4,5,3,5,3,2,5,0,2,4,2,5,2,2,2,5,2,3
mst72,0,5,4,1,1,2,1,1,0,0,2,5,0,5,4,5,4,5,5,0,2,4,2,2,3,2,4,2,3,1,0,2,0,1,3,0,0,5,0,4,3,3,5,4,3,0,4,4,4,3,0,5,1,4,0,4,1
mst73,1,5,5,1,5,5,3,4,0,1,3,4,1,1,2,5,5,3,4,3,4,2,2,4,5,2,0,0,1,5,4,4,5,0,2,4,1,4,5,5,4,5,1,1,2,0,2,0,5,1,0,2,2,0,0,1,2
mst74,0,0,3,2,3,4,1,3,3,5,0,2,4,1,5,2,5,2,1,1,5,2,4,2,4,2,3,3,5,0,4,1,5,4,5,5,5,3,1,2,2,3,3,1,1,2,2,1,2,5,4,5,4,3,2,4,1
mst75,5,2,0,0,3,1,3,5,1,1,0,0,2,2,3,3,3,2,0,5,2,2,3,5,0,1,5,3,5,0,2,0,0,2,2,4,2,0,2,3,2,4,4,4,0,2,4,2,1,4,4,3,0,0,4,4,3
mst76,0,3,0,4,1,2,1,0,0,5,2,2,1,0,4,4,4,5,3,0,1,2,1,0,0,2,0,0,0,5,5,2,2,2,0,1,1,4,2,5,1,3,2,2,4,2,2,1,5,1,0,0,0,2,4,1,5
mst77,3,2,1,4,3,4,5,1,1,2,4,1,5,4,1,2,4,2,3,4,1,4,4,4,4,5,0,2,1,5,0,0,2,1,2,5,3,5,3,3,1,4,0,2,2,1,5,4,0,4,5,2,0,0,5,2,4
mst78,5,3,1,0,4,5,2,1,5,4,5,0,1,1,1,5,5,2,1,2,5,4,5,2,3,3,0,3,1,2,5,0,0,4,1,4,3,5,0,3,4,3,2,0,4,1,5,3,3,1,2,1,4,0,2,2,2
mst79,1,3,1,3,5,4,2,2,1,1,0,2,1,0,4,0,1,1,3,1,4,4,2,2,4,0,4,4,2,1,5,1,3,0,1,5,1,3,0,3,0,5,3,5,4,1,4,4,4,2,0,3,1,1,5,0,4
mst80,2,4,4,0,0,3,3,0,3,2,2,1,3,3,3,4,3,0,0,0,3,4,5,1,0,1,5,0,3,4,4,2,1,5,3,3,2,2,2,0,0,4,2,5,0,5,0,1,2,4,3,0,2,1,4,1,3
mst81,3,1,3,1,5,2,1,4,2,0,4,3,1,0,0,5,3,3,1,1,2,2,0,5,4,2,0,1,0,4,2,4,0,2,2,2,0,1,3,5,1,4,0,4,4,4,5,2,5,5,2,1,0,4,2,2,1
mst82,5,3,5,0,5,3,3,1,5,0,4,3,3,3,1,1,0,5,4,4,0,2,3,4,5,4,0,0,3,2,0,3,4,2,5,0,2,3,3,5,5,2,5,1,2,3,3,1,0,1,1,5,3,3,4,4,3
mst83,5,0,5,3,4,1,1,0,4,1,5,4,5,3,5,5,4,3,1,0,1,3,5,0,1,2,3,2,2,3,1,2,4,3,4,1,2,1,0,1,0,3,4,5,1,3,0,2,1,3,0,2,0,4,3,3,4
mst84,4,4,5,0,4,5,0,0,3,5,5,1,3,4,0,4,4,1,4,5,1,2,3,3,5,5,2,3,0,1,1,0,2,0,1,1,5,5,3,3,5,0,1,2,5,0,2,5,4,2,1,4,5,2,1,4,0
mst85,3,2,4,4,3,2,1,0,5,0,4,0,4,3,4,0,5,3,0,3,3,2,2,2,3,1,5,5,1,0,3,3,3,1,1,2,2,2,3,5,2,0,3,0,2,5,1,5,3,1,0,5,3,3,4,2,3
mst86,1,0,2,2,2,4,1,1,3,2,1,1,3,1,4,4,0,4,2,5,4,1,3,3,0,2,0,4,4,2,2,3,5,0,1,2,4,4,3,5,4,5,1,3,3,3,1,0,1,2,3,5,4,5,5,2,2
mst87,0,1,5,5,5,4,5,2,5,1,3,5,0,2,3,2,4,4,0,3,3,1,5,5,3,0,5,5,0,1,3,2,2,0,3,1,5,4,0,1,4,0,5,2,0,4,3,4,3,2,5,1,4,2,1,2,0
mst88,1,4,2,5,3,3,0,2,0,3,4,5,3,0,0,2,4,2,4,1,0,4,2,5,3,4,4,5,2,4,0,3,0,3,5,5,4,4,3,1,1,1,5,2,2,4,2,4,3,0,3,1,0,1,2,1,4
mst89,0,0,0,3,4,1,3,1,1,2,1,4,0,4,3,0,2,0,2,0,4,2,0,0,0,4,2,1,3,3,3,3,3,0,1,4,1,0,5,2,1,0,4,1,4,1,2,3,4,2,2,3,3,3,1,2,5
mst90,5,4,4,2,2,0,3,5,5,2,0,3,2,4,3,3,1,2,2,5,0,4,4,3,2,2,2,2,4,1,5,0,4,3,5,5,2,2,3,0,0,1,3,3,3,5,5,3,1,2,1,3,4,1,5,0,1
